date,nav,cash,market_value,daily_return,n_positions,n_orders,n_fills,n_rejections,dividend_cash,gross_exposure,variant
2023-05-05,9850739547.750002,379726547.75000167,9471013000.0,-0.0010358539034367453,20,10,10,0,0.0,0.9614519756705237,garch_hmm_brake
2023-05-08,9915976873.350002,316671873.35000193,9599305000.0,0.00662258151114159,20,10,10,0,0.0,0.9680644804445759,garch_hmm_brake
2023-05-09,10000808269.900002,354240269.900002,9646568000.0,0.008555021621519776,20,10,10,0,0.0,0.9645788359960686,garch_hmm_brake
2023-05-10,10169934658.800003,372080658.8000021,9797854000.0,0.01691127200278708,19,10,10,0,0.0,0.963413662793001,garch_hmm_brake
2023-05-11,10206992344.100002,790753344.1000018,9416239000.0,0.003643846941330464,16,10,9,1,0.0,0.9225282710673252,garch_hmm_brake
2023-05-12,10389001201.750002,801904201.7500019,9587097000.0,0.0178317815389768,18,10,10,0,0.0,0.9228121947261954,garch_hmm_brake
2023-05-15,10172071439.250002,819129439.2500019,9352942000.0,-0.020880713967331044,18,10,10,0,0.0,0.9194727009004965,garch_hmm_brake
2023-05-16,10262274290.050003,568161290.0500021,9694113000.0,0.008867697335662061,18,10,10,0,0.0,0.9446359282560908,garch_hmm_brake
2023-05-17,10126457195.250002,507788195.25000215,9618669000.0,-0.013234599949417225,19,10,10,0,0.0,0.949855296333234,garch_hmm_brake
2023-05-18,10144695314.150002,85194314.15000224,10059501000.0,0.0018010364877218965,18,9,9,0,0.0,0.9916020825158572,garch_hmm_brake
2023-05-19,10222658141.900002,28736141.90000224,10193922000.0,0.007685083221893985,17,10,10,0,0.0,0.997188975557911,garch_hmm_brake
2023-05-22,10324941596.550003,1086371596.5500023,9238570000.0,0.010005563448391985,15,10,10,0,0.0,0.8947818167888711,garch_hmm_brake
2023-05-23,10382079529.000002,2763349529.000002,7618730000.0,0.005533971491818557,15,10,10,0,0.0,0.7338346791429206,garch_hmm_brake
2023-05-24,10376150501.650002,2991357501.6500015,7384793000.0,-0.0005710828291614067,14,10,10,0,0.0,0.7117083545410873,garch_hmm_brake
2023-05-25,10354529854.100002,2985762854.1000013,7368767000.000001,-0.002083686772523352,16,10,10,0,0.0,0.7116466999302965,garch_hmm_brake
2023-05-26,10435583057.900002,2956834057.9000015,7478749000.0,0.007827801449421301,17,10,10,0,0.0,0.7166584711659592,garch_hmm_brake
2023-05-29,10574883761.750002,1907973761.750002,8666910000.0,0.013348626816260811,16,10,10,0,0.0,0.8195749660482077,garch_hmm_brake
2023-05-30,10616006378.850002,408867378.8500018,10207139000.0,0.0038887062994246158,16,10,10,0,0.0,0.9614857636422884,garch_hmm_brake
2023-05-31,10770166521.000002,246848521.0000019,10523318000.0,0.014521481680448867,17,10,10,0,0.0,0.9770803431387353,garch_hmm_brake
2023-06-01,10860200196.850002,250432196.85000175,10609768000.0,0.008359543529289803,19,10,10,0,0.0,0.9769403701303185,garch_hmm_brake
2023-06-02,10894418358.750002,281970358.7500019,10612448000.0,0.0031507855545724883,18,10,10,0,0.0,0.9741179061180872,garch_hmm_brake
2023-06-05,10839684805.45,964996805.4500017,9874688000.0,-0.005023999583790628,15,10,10,0,0.0,0.91097556591638,garch_hmm_brake
2023-06-06,10973382131.45,930980131.4500014,10042402000.0,0.0123340602978399,16,10,10,0,0.0,0.9151601465894651,garch_hmm_brake
2023-06-07,11223786303.95,905713303.9500012,10318073000.0,0.02281923380598716,17,10,10,0,0.0,0.9193041207821953,garch_hmm_brake
2023-06-08,10970451412.800001,928940412.8000011,10041511000.0,-0.022571250404227916,15,10,10,0,0.0,0.9153234103278429,garch_hmm_brake
2023-06-09,11213417901.0,941261901.000001,10272156000.0,0.022147355569754668,17,10,10,0,0.0,0.9160593220274026,garch_hmm_brake
2023-06-12,11234937357.95,299255357.950001,10935682000.0,0.0019190809742390957,16,10,10,0,0.0,0.9733638605703268,garch_hmm_brake
2023-06-13,11210337025.400002,322609025.40000135,10887728000.0,-0.002189627922810966,16,10,10,0,0.0,0.9712221831806622,garch_hmm_brake
2023-06-14,11005549188.850002,346834188.85000134,10658715000.0,-0.018267768050683753,15,10,10,0,0.0,0.9684855173605158,garch_hmm_brake
2023-06-15,11051461839.800001,1709547839.8000011,9341914000.0,0.004171772817708641,18,10,10,0,0.0,0.8453102526542372,garch_hmm_brake
2023-06-16,10999536412.800001,1801673412.8000011,9197863000.0,-0.004698512083985085,18,10,10,0,0.0,0.8362046048864914,garch_hmm_brake
2023-06-19,10914203555.900002,1755621555.900001,9158582000.0,-0.007757859394937672,20,10,10,0,0.0,0.839143410977437,garch_hmm_brake
2023-06-20,11138063148.7,1620919148.7000012,9517144000.0,0.02051085007288367,20,10,10,0,0.0,0.8544702856268875,garch_hmm_brake
2023-06-21,11249632891.45,1744767891.4500012,9504865000.0,0.01001697882840813,17,10,10,0,0.0,0.8449044597023191,garch_hmm_brake
2023-06-22,11320938053.7,364018053.70000124,10956920000.0,0.006338443479715128,15,10,10,0,0.0,0.9678455926555459,garch_hmm_brake
2023-06-23,11253702731.900002,211252731.90000153,11042450000.0,-0.005939023911364361,13,10,10,0,0.0,0.9812281577954624,garch_hmm_brake
2023-06-26,11222196508.95,444997508.9500015,10777199000.0,-0.002799631703500838,15,10,10,0,0.0,0.9603466657712594,garch_hmm_brake
2023-06-27,11188204262.2,515992262.2000017,10672212000.0,-0.003029019026969504,16,10,10,0,0.0,0.9538806898669779,garch_hmm_brake
2023-06-28,11118691484.95,2163967484.9500017,8954724000.0,-0.006213041487350468,17,10,10,0,0.0,0.8053757055963738,garch_hmm_brake
2023-06-29,10873969360.45,2653010360.4500017,8220958999.999999,-0.022009975259341452,16,10,10,0,0.0,0.7560219021676358,garch_hmm_brake
2023-06-30,10881248100.150002,2608927100.1500015,8272321000.0,0.0006693728351372386,16,10,10,0,0.0,0.7602364107372906,garch_hmm_brake
2023-07-03,10891077397.95,4156982397.9500017,6734094999.999999,0.000903324481670742,17,10,10,0,0.0,0.6183130239500033,garch_hmm_brake
2023-07-04,10926763298.300003,4406785298.300002,6519978000.000001,0.003276618009961041,15,10,10,0,0.0,0.5966980177024962,garch_hmm_brake
2023-07-05,10960802735.050003,4415421735.050002,6545381000.000001,0.003115235117731041,15,10,10,0,0.0,0.5971625580916123,garch_hmm_brake
2023-07-06,10904243137.900002,5596952137.900002,5307291000.0,-0.005160169242818147,14,10,10,0,0.0,0.4867179622539219,garch_hmm_brake
2023-07-07,10989857551.95,5839600551.950002,5150256999.999999,0.007851476986277861,18,10,10,0,0.0,0.46863728448292363,garch_hmm_brake
2023-07-10,11023873193.750002,4129755193.750002,6894118000.0,0.0030951849593323644,19,10,10,0,0.0,0.6253807422157784,garch_hmm_brake
2023-07-11,11037320307.750002,5604982307.750002,5432338000.0,0.0012198175508426612,18,10,10,0,0.0,0.49217906598086236,garch_hmm_brake
2023-07-12,11026647480.750002,5616685480.750002,5409962000.0,-0.0009669762861286291,16,10,10,0,0.0,0.490626186195265,garch_hmm_brake
2023-07-13,11114859434.750002,4109821434.750002,7005038000.0,0.007999888828766677,19,10,10,0,0.0,0.6302408088130319,garch_hmm_brake
2023-07-14,11116823545.100002,3884576545.1000023,7232247000.0,0.00017671031842825258,20,10,10,0,0.0,0.6505677607150453,garch_hmm_brake
2023-07-17,11087443584.750002,3890340584.750002,7197103000.0,-0.0026428376982695623,21,10,10,0,0.0,0.6491219499776404,garch_hmm_brake
2023-07-18,11041992336.95,2158858336.9500017,8883134000.0,-0.004099344222370238,19,10,10,0,0.0,0.8044865209944244,garch_hmm_brake
2023-07-19,10934047878.900002,461945878.9000015,10472102000.0,-0.009775813526765709,20,10,10,0,0.0,0.9577516136735196,garch_hmm_brake
2023-07-20,10993876145.050001,403028145.05000126,10590848000.0,0.00547173990937555,18,10,10,0,0.0,0.9633406689567388,garch_hmm_brake
2023-07-21,11229574062.600002,382618062.60000134,10846956000.0,0.02143901881740984,17,10,10,0,0.0,0.9659276424495646,garch_hmm_brake
2023-07-24,11478934708.400002,390447708.4000013,11088487000.0,0.022205708285098158,16,10,10,0,0.0,0.9659857192049118,garch_hmm_brake
2023-07-25,11423200610.0,473203610.00000095,10949997000.0,-0.00485533717333686,14,10,10,0,0.0,0.9585752166878911,garch_hmm_brake
2023-07-26,11494952252.900002,505082252.90000105,10989870000.0,0.006281220592168291,15,10,10,0,0.0,0.9560605175395507,garch_hmm_brake
2023-07-27,11592303999.45,242963999.45000124,11349340000.0,0.00846908663978474,15,10,10,0,0.0,0.9790409223687088,garch_hmm_brake
2023-07-28,11733204317.7,216177317.70000148,11517027000.0,0.012154643137092025,17,10,10,0,0.0,0.9815755941986036,garch_hmm_brake
2023-07-31,11830207723.2,204437723.20000172,11625770000.0,0.008267426601756833,16,10,10,0,0.0,0.9827190081540934,garch_hmm_brake
2023-08-01,11585047551.900002,151601551.90000176,11433446000.0,-0.02072323470865356,17,10,10,0,0.0,0.9869140328323349,garch_hmm_brake
2023-08-02,11895765156.350002,1934120156.3500013,9961645000.0,0.026820572212415517,15,10,10,0,0.0,0.8374110340167936,garch_hmm_brake
2023-08-03,11896219822.350002,3206751822.3500013,8689468000.0,3.822082850701847e-05,15,10,10,0,0.0,0.7304394277982891,garch_hmm_brake
2023-08-04,12104244258.100002,3312980258.1000013,8791264000.0,0.017486599849069195,15,10,10,0,0.0,0.7262959844946124,garch_hmm_brake
2023-08-07,12167319643.250002,3291180643.2500014,8876139000.0,0.005211013905952022,16,10,10,0,0.0,0.7295065191226539,garch_hmm_brake
2023-08-08,12138927220.550001,3343542220.550001,8795385000.0,-0.002333498546309043,17,10,10,0,0.0,0.7245603207102423,garch_hmm_brake
2023-08-09,12091653026.650002,1455919026.650001,10635734000.0,-0.003894429305084657,19,10,10,0,0.0,0.8795930528736513,garch_hmm_brake
2023-08-10,11963789371.2,278498371.20000076,11685291000.0,-0.010574538912768161,19,10,10,0,0.0,0.9767215584829319,garch_hmm_brake
2023-08-11,12120112023.95,187765023.95000076,11932347000.0,0.01306631602243935,19,10,10,0,0.0,0.9845079794989545,garch_hmm_brake
2023-08-14,12338943205.2,2119924205.2000008,10219019000.0,0.018055211108410463,16,10,10,0,0.0,0.8281924010877527,garch_hmm_brake
2023-08-15,12247456790.95,4062248790.950001,8185208000.0,-0.007414444878184101,16,10,10,0,0.0,0.6683189938704897,garch_hmm_brake
2023-08-16,12256452728.35,5937303728.35,6319149000.0,0.0007345147285309217,16,10,10,0,0.0,0.5155773158887468,garch_hmm_brake
2023-08-17,12167329165.6,7864285165.6,4303044000.0,-0.0072715625577253196,17,10,10,0,0.0,0.353655592072396,garch_hmm_brake
2023-08-18,11862648952.95,7695811952.950001,4166837000.0,-0.025040845735595396,17,10,10,0,0.0,0.3512568749633101,garch_hmm_brake
2023-08-21,11844369768.0,5793909768.000001,6050459999.999999,-0.0015409024596867438,18,10,10,0,0.0,0.5108300499319568,garch_hmm_brake
2023-08-22,11908320651.150002,3898385651.1500006,8009935000.000001,0.005399264325804731,17,10,10,0,0.0,0.6726334665187632,garch_hmm_brake
2023-08-23,11870919741.150002,3858709741.1500006,8012210000.000001,-0.003140737564569007,18,10,10,0,0.0,0.674944332428265,garch_hmm_brake
